"filename", "language", "C++", "CMake Cache", "CMake", "Makefile", "Log", "C", "comment", "blank", "total"
"/Users/wushun/Desktop/myKcp/kcp/kcpClient/CMakeCache.txt", "CMake Cache", 0, 294, 0, 0, 0, 0, 0, 66, 360
"/Users/wushun/Desktop/myKcp/kcp/kcpClient/CMakeFiles/3.16.4/CMakeCCompiler.cmake", "CMake", 0, 0, 60, 0, 0, 0, 0, 17, 77
"/Users/wushun/Desktop/myKcp/kcp/kcpClient/CMakeFiles/3.16.4/CMakeCXXCompiler.cmake", "CMake", 0, 0, 70, 0, 0, 0, 0, 19, 89
"/Users/wushun/Desktop/myKcp/kcp/kcpClient/CMakeFiles/3.16.4/CMakeSystem.cmake", "CMake", 0, 0, 10, 0, 0, 0, 0, 6, 16
"/Users/wushun/Desktop/myKcp/kcp/kcpClient/CMakeFiles/3.16.4/CompilerIdC/CMakeCCompilerId.c", "C", 0, 0, 0, 0, 0, 507, 50, 115, 672
"/Users/wushun/Desktop/myKcp/kcp/kcpClient/CMakeFiles/3.16.4/CompilerIdCXX/CMakeCXXCompilerId.cpp", "C++", 496, 0, 0, 0, 0, 0, 52, 113, 661
"/Users/wushun/Desktop/myKcp/kcp/kcpClient/CMakeFiles/CMakeDirectoryInformation.cmake", "CMake", 0, 0, 12, 0, 0, 0, 0, 5, 17
"/Users/wushun/Desktop/myKcp/kcp/kcpClient/CMakeFiles/CMakeError.log", "Log", 0, 0, 0, 0, 16, 0, 0, 7, 23
"/Users/wushun/Desktop/myKcp/kcp/kcpClient/CMakeFiles/CMakeOutput.log", "Log", 0, 0, 0, 0, 256, 0, 0, 35, 291
"/Users/wushun/Desktop/myKcp/kcp/kcpClient/CMakeFiles/KcpClient.dir/DependInfo.cmake", "CMake", 0, 0, 18, 0, 0, 0, 0, 4, 22
"/Users/wushun/Desktop/myKcp/kcp/kcpClient/CMakeFiles/KcpClient.dir/cmake_clean.cmake", "CMake", 0, 0, 10, 0, 0, 0, 0, 2, 12
"/Users/wushun/Desktop/myKcp/kcp/kcpClient/CMakeFiles/KcpServer.dir/DependInfo.cmake", "CMake", 0, 0, 18, 0, 0, 0, 0, 4, 22
"/Users/wushun/Desktop/myKcp/kcp/kcpClient/CMakeFiles/KcpServer.dir/cmake_clean.cmake", "CMake", 0, 0, 10, 0, 0, 0, 0, 2, 12
"/Users/wushun/Desktop/myKcp/kcp/kcpClient/CMakeFiles/Makefile.cmake", "CMake", 0, 0, 48, 0, 0, 0, 0, 6, 54
"/Users/wushun/Desktop/myKcp/kcp/kcpClient/Makefile", "Makefile", 0, 0, 0, 100, 0, 0, 46, 63, 209
"/Users/wushun/Desktop/myKcp/kcp/kcpClient/cmake_install.cmake", "CMake", 0, 0, 38, 0, 0, 0, 0, 7, 45
"/Users/wushun/Desktop/myKcp/kcp/kcpClient/ikcp.c", "C", 0, 0, 0, 0, 0, 921, 112, 183, 1216
"/Users/wushun/Desktop/myKcp/kcp/kcpClient/ikcp.h", "C++", 268, 0, 0, 0, 0, 0, 108, 111, 487
"/Users/wushun/Desktop/myKcp/kcp/kcpClient/kcpClient.c", "C", 0, 0, 0, 0, 0, 152, 37, 54, 243
"Total", "-", 764, 294, 294, 100, 272, 1580, 405, 819, 4528
